(('Company', 'Amplified Software'), ('Value', -26.393026388368114), ('Drop', -18.231786467099287), ('Variation', 0.2630421696520262), ('Date', '2016-09-22'))
(('Company', 'Facebook'), ('Value', -32.94229573083888), ('Drop', -15.42645239039252), ('Variation', 0.31663890486100255), ('Date', '2011-12-25'))
(('Company', 'Levi9'), ('Value', -27.10471525211624), ('Drop', 22.031736624945673), ('Variation', 0.36529217981488094), ('Date', '2021-01-15'))
(('Company', 'Facebook'), ('Value', 17.555593223450444), ('Drop', -12.197796666914423), ('Variation', 0.5926895248731914), ('Date', '2011-12-25'))
(('Company', 'Facebook'), ('Value', 31.500237681858096), ('Drop', -2.8756150397927946), ('Variation', 0.32364997558896336), ('Date', '2011-12-25'))
(('Company', 'PrivateSky'), ('Value', -26.22342939125806), ('Drop', -2.6267765399211953), ('Variation', 0.5672913375696987), ('Date', '2012-07-12'))
(('Company', 'PrivateSky'), ('Value', 2.6772065162946816), ('Drop', 13.47449732084604), ('Variation', 0.44026391640516316), ('Date', '2021-01-15'))
(('Company', 'Facebook'), ('Value', -8.40040047671512), ('Drop', 23.157500841455978), ('Variation', 0.5993620594054101), ('Date', '2011-12-25'))
(('Company', 'Endava'), ('Value', -22.101536071054163), ('Drop', -12.129421613944642), ('Variation', 0.1012793898910814), ('Date', '2018-03-11'))
(('Company', 'SoftVision'), ('Value', -22.05170736380565), ('Drop', 9.618825639569742), ('Variation', 0.5283579025221947), ('Date', '2016-09-22'))
(('Company', 'Ubisoft'), ('Value', -17.57509351920107), ('Drop', 16.17631022444081), ('Variation', 0.14286455971317633), ('Date', '2017-09-18'))
(('Company', 'Bytex'), ('Value', 1.8389455920294608), ('Drop', 12.345219641782393), ('Variation', 0.19021857389405641), ('Date', '2014-04-14'))
(('Company', 'Facebook'), ('Value', 24.294662163019566), ('Drop', 12.352934006009775), ('Variation', 0.20464991067898156), ('Date', '2011-12-25'))
(('Company', 'Amplified Software'), ('Value', -24.518145543478266), ('Drop', 21.0679086622282), ('Variation', 0.34871938739054775), ('Date', '2017-09-18'))
(('Company', 'Facebook'), ('Value', 44.04907817356943), ('Drop', -24.385917979342263), ('Variation', 0.22313210054428487), ('Date', '2020-06-20'))
(('Company', 'Centric'), ('Value', -32.37051092878583), ('Drop', -14.700658764414726), ('Variation', 0.2046994115570435), ('Date', '2016-09-22'))
(('Company', 'Bytex'), ('Value', 4.038680810109504), ('Drop', -1.0568680872254532), ('Variation', 0.4310004730703558), ('Date', '2021-01-15'))
(('Company', 'Facebook'), ('Value', 29.31651351997543), ('Drop', -3.294566913958878), ('Variation', 0.2720602322610537), ('Date', '2014-04-14'))
(('Company', 'Ubisoft'), ('Value', -43.9245168308814), ('Drop', 16.555042631422154), ('Variation', 0.46634167913314506), ('Date', '2011-12-25'))
(('Company', 'SoftVision'), ('Value', 38.14067798441965), ('Drop', -4.414308891976624), ('Variation', 0.26304818298585697), ('Date', '2015-11-27'))
(('Company', 'Amazon'), ('Value', 24.56486326122412), ('Drop', -15.54435146220381), ('Variation', 0.3892217255723889), ('Date', '2018-03-11'))
(('Company', 'SoftVision'), ('Value', 48.38671538021711), ('Drop', -16.751795950093147), ('Variation', 0.2383213065649131), ('Date', '2021-01-15'))
(('Company', 'Centric'), ('Value', 4.227920139794719), ('Drop', -9.99769122533557), ('Variation', 0.11055019894305987), ('Date', '2016-09-22'))
(('Company', 'Amplified Software'), ('Value', -25.0428403995708), ('Drop', 2.795701331078188), ('Variation', 0.5911529275132609), ('Date', '2021-01-15'))
(('Company', 'Endava'), ('Value', -25.863837445163064), ('Drop', 24.79357984006498), ('Variation', 0.39915073008163693), ('Date', '2012-07-12'))
(('Company', 'Bytex'), ('Value', -41.064350748365065), ('Drop', -12.516883728393214), ('Variation', 0.180146360584772), ('Date', '2015-11-27'))
(('Company', 'Ubisoft'), ('Value', -35.5072556473456), ('Drop', 0.6099116689802848), ('Variation', 0.15315413645420076), ('Date', '2018-03-11'))
(('Company', 'Facebook'), ('Value', 7.254282964976525), ('Drop', -17.795739124500166), ('Variation', 0.38945518161393555), ('Date', '2018-03-11'))
(('Company', 'Facebook'), ('Value', 38.59682593093105), ('Drop', 21.284606261274163), ('Variation', 0.29774448625880956), ('Date', '2018-03-11'))
(('Company', 'Amazon'), ('Value', -2.2125643465746734), ('Drop', 1.7266791770519418), ('Variation', 0.38767980420883763), ('Date', '2021-01-15'))
(('Company', 'PrivateSky'), ('Value', -42.865630000046025), ('Drop', -2.6980933567362975), ('Variation', 0.3079996212330105), ('Date', '2017-09-18'))
(('Company', 'PrivateSky'), ('Value', -13.830166126434207), ('Drop', 23.627079873389754), ('Variation', 0.15469090174522718), ('Date', '2022-04-10'))
(('Company', 'SoftVision'), ('Value', 2.2566028966895004), ('Drop', 1.1561092535815405), ('Variation', 0.5825741629313403), ('Date', '2020-06-20'))
